ref,pubdate,months,yearstart,yearend,season,environment,ocean,locality,mindepth,maxdepth,latmin,latmid,latmax,longmin,longmid,longmax,genus,genusconfirmed,species,spconfirmed,stage,minsize,midsize,maxsize,combmaxsize,genusfbms,fbmaxsize,primarydiet,primarygroup,secondarydiet,secondarygroup,tertiarydiet,tertiarygroup,copepods,fish,fishid,notes
alwis1988a,1988,"jun,jul,nov,dec",1982,1982,multiple,tropical,indian,tanzania,,,-2,-6,-10,41,41.5,42,benthosema,benthosema,benthosema suborbitale,benthosema suborbitale,,20,25,30,30,103,39,copepods,crustaceans,euphausiids,crustaceans,crustacean larvae,crustaceans,yes,no,,
alwis1988a,1988,"jun,jul,nov,dec",1982,1982,multiple,tropical,indian,tanzania,,,-2,-6,-10,41,41.5,42,diaphus,diaphus,diaphus jenseni,diaphus jenseni,,22,26,30,30,170,50,copepods,crustaceans,,,,,yes,no,,
alwis1988a,1988,"jun,jul,nov,dec",1982,1982,multiple,tropical,indian,tanzania,,,-2,-6,-10,41,41.5,42,triphoturus,triphoturus,triphoturus microchir,triphoturus nigrescens,,25,28.5,32,32,81,81,copepods,crustaceans,euphausiids,crustaceans,crustacean larvae,crustaceans,yes,no,,
alwis1988a,1988,"jun,jul,nov,dec",1982,1982,multiple,tropical,indian,tanzania,,,-2,-6,-10,41,41.5,42,benthosema,benthosema,benthosema pterotum,benthosema pterotum,,25,29,33,33,103,70,copepods,crustaceans,euphausiids,crustaceans,crustacean larvae,crustaceans,yes,no,,
alwis1988a,1988,"jun,jul,nov,dec",1982,1982,multiple,tropical,indian,tanzania,,,-2,-6,-10,41,41.5,42,diaphus,diaphus,diaphus nielseni,diaphus nielseni,,30,34,38,38,170,40,copepods,crustaceans,crustacean larvae,crustaceans,,,yes,no,,
alwis1988a,1988,"jun,jul,nov,dec",1982,1982,multiple,tropical,indian,tanzania,,,-2,-6,-10,41,41.5,42,diaphus,diaphus,diaphus garmani,diaphus garmani,,30,41.5,53,53,170,60,copepods,crustaceans,crustacean larvae,crustaceans,eupahusiids,crustaceans,yes,yes,myctophids,
alwis1988a,1988,"jun,jul,nov,dec",1982,1982,multiple,tropical,indian,tanzania,,,-2,-6,-10,41,41.5,42,diaphus,diaphus,diaphus perspicillatus,diaphus perspicillatus,,25,42.5,60,60,170,104,copepods,crustaceans,euphausiids,crustaceans,ostracods,crustaceans,yes,no,,
alwis1988a,1988,"jun,jul,nov,dec",1982,1982,multiple,tropical,indian,tanzania,,,-2,-6,-10,41,41.5,42,lampanyctus,lampanyctus,lampanyctus sp,lampanyctus sp,,25,43.5,62,62,300,,euphausiids,crustaceans,copepods,crustaceans,crustacean larvae,crustaceans,no,yes,myctophids,
alwis1988a,1988,"jun,jul,nov,dec",1982,1982,multiple,tropical,indian,tanzania,,,-2,-6,-10,41,41.5,42,ceratoscopelus,ceratoscopelus,ceratoscopelus warmingii,ceratoscopelus warmingii,,28,44,60,60,184,102,copepods,crustaceans,euphausiids,crustaceans,crustacean larvae,crustaceans,yes,yes,myctophids,
alwis1988a,1988,"jun,jul,nov,dec",1982,1982,multiple,tropical,indian,tanzania,,,-2,-6,-10,41,41.5,42,benthosema,benthosema,benthosema fibulatum,benthosema fibulatum,,25,46,67,67,103,100,copepods,crustaceans,crustacean larvae,crustaceans,amphipods,crustaceans,yes,yes,unknown,
alwis1988a,1988,"jun,jul,nov,dec",1982,1982,multiple,tropical,indian,tanzania,,,-2,-6,-10,41,41.5,42,symbolophorus,symbolophorus,symbolophorus evermanni,symbolophorus evermanni,,25,56,87,87,160,117,euphausiids,crustaceans,crustacean larvae,crustaceans,copepods,crustaceans,no,no,,
alwis1988a,1988,"jun,jul,nov,dec",1982,1982,multiple,tropical,indian,tanzania,,,-2,-6,-10,41,41.5,42,myctophum,myctophum,myctophum brachygnathum,myctophum brachygnathum,,55,62.5,70,70,110,,molluscs,molluscs,larvaceans,gelatinous,copepods,crustaceans,no,yes,unknown,
alwis1988a,1988,"jun,jul,nov,dec",1982,1982,multiple,tropical,indian,tanzania,,,-2,-6,-10,41,41.5,42,myctophum,myctophum,myctophum obtusirostrum,myctophum obtusirostrum,,50,65,80,80,110,90,molluscs,molluscs,copepods,crustaceans,euphausiids,crustaceans,no,no,,
alwis1988a,1988,"jun,jul,nov,dec",1982,1982,multiple,tropical,indian,tanzania,,,-2,-6,-10,41,41.5,42,diaphus,diaphus,diaphus thiollierei,diaphus thiollierei,,60,85,110,110,170,100,copepods,crustaceans,euphausiids,crustaceans,crustacean larvae,crustaceans,yes,no,,
alwis1988a,1988,"jun,jul,nov,dec",1982,1982,multiple,tropical,indian,tanzania,,,-2,-6,-10,41,41.5,42,diaphus,diaphus,diaphus watasei,diaphus watasei,,50,95,140,140,170,170,copepods,crustaceans,euphausiids,crustaceans,squid,molluscs,yes,yes,myctophids,
alwis1988b,1988,"aug,nov,dec",1981,1981,multiple,tropical,atlantic,mauritiania,,,20,11.5,3,-18,-11.5,-5,diaphus,diaphus,diaphus dumerilii,diaphus dumerilii,,20,45,70,70,170,95,copepods,crustaceans,euphausiids,crustaceans,larvaceans,gelatinous,yes,yes,unknown,
alwis1988b,1988,"aug,nov,dec",1981,1981,multiple,tropical,atlantic,mauritiania,,,20,11.5,3,-18,-11.5,-5,diaphus,diaphus,diaphus taaningi,diaphus taaningi,,,,,70,170,70,copepods,crustaceans,larvaceans,gelatinous,crustacean larvae,crustaceans,yes,no,,
alwis1988b,1988,"aug,nov,dec",1981,1981,multiple,tropical,atlantic,mauritiania,,,20,11.5,3,-18,-11.5,-5,myctophum,myctophum,myctophum affine,myctophum affine,,,,,79,110,79,copepods,crustaceans,amphipods,crustaceans,crustacean larvae,crustaceans,yes,no,,
alwis1988b,1988,"aug,nov,dec",1981,1981,multiple,tropical,atlantic,mauritiania,,,20,11.5,3,-18,-11.5,-5,myctophum,myctophum,myctophum nitidulum,myctophum nitidulum,,,,,83,110,83,crustaceans,crustaceans,copepods,crustaceans,fish larvae,pisces,no,yes,unknown,
applebaum1982,1982,"march,april",1979,1979,spring,temperate,atlantic,sargasso sea,0,1800,20,32.5,45,-10,-40,-70,ceratoscopelus,ceratoscopelus,ceratoscopelus warmingii,ceratoscopelus warmingii,,22.5,43.5,64.5,64.5,184,102,copepods,crustaceans,ostracods,crustaceans,amphipods,crustaceans,yes,yes,"myctophid, ariosoma, gnathophis",
applebaum1982,1982,"march,april",1979,1979,spring,temperate,atlantic,sargasso sea,0,1800,20,32.5,45,-10,-40,-70,benthosema,benthosema,benthosema glaciale,benthosema glaciale,,,,,103,103,103,crustaceans,crustaceans,,,,,no,no,,
applebaum1982,1982,"march,april",1979,1979,spring,temperate,atlantic,sargasso sea,0,1800,20,32.5,45,-10,-40,-70,bolinichthys,bolinichthys,bolinichthys indicus,bolinichthys indicus,,,,,46,117,46,crustaceans,crustaceans,,,,,no,no,,
applebaum1982,1982,"march,april",1979,1979,spring,temperate,atlantic,sargasso sea,0,1800,20,32.5,45,-10,-40,-70,diaphus,diaphus,diaphus mollis,diaphus mollis,,,,,66,170,66,crustaceans,crustaceans,,,,,no,no,,
applebaum1982,1982,"march,april",1979,1979,spring,temperate,atlantic,sargasso sea,0,1800,20,32.5,45,-10,-40,-70,diaphus,diaphus,diaphus rafinesquii,diaphus rafinesquii,,,,,94,170,94,crustaceans,crustaceans,,,,,no,no,,
applebaum1982,1982,"march,april",1979,1979,spring,temperate,atlantic,sargasso sea,0,1800,20,32.5,45,-10,-40,-70,diaphus,diaphus,diaphus sp.,diaphus sp.,,,,,170,170,,crustaceans,crustaceans,,,,,no,no,,
applebaum1982,1982,"march,april",1979,1979,spring,temperate,atlantic,sargasso sea,0,1800,20,32.5,45,-10,-40,-70,hygophum,hygophum,hygophum hygomii,hygophum hygomii,,,,,81,81,81,crustaceans,crustaceans,,,,,no,no,,
applebaum1982,1982,"march,april",1979,1979,spring,temperate,atlantic,sargasso sea,0,1800,20,32.5,45,-10,-40,-70,hygophum,hygophum,hygophum taaningi,hygophum taaningi,,,,,66,81,66,crustaceans,crustaceans,,,,,no,no,,
applebaum1982,1982,"march,april",1979,1979,spring,temperate,atlantic,sargasso sea,0,1800,20,32.5,45,-10,-40,-70,lampanyctus,lampanyctus,lampanyctus crocodilus,lampanyctus crocodilus,,,,,300,300,300,crustaceans,crustaceans,,,,,no,no,,
applebaum1982,1982,"march,april",1979,1979,spring,temperate,atlantic,sargasso sea,0,1800,20,32.5,45,-10,-40,-70,lampanyctus,lampanyctus,lampanyctus cuprarius,lampanyctus cuprarius,,,,,79,300,79,crustaceans,crustaceans,,,,,no,no,,
applebaum1982,1982,"march,april",1979,1979,spring,temperate,atlantic,sargasso sea,0,1800,20,32.5,45,-10,-40,-70,lampanyctus,lampanyctus,lampanyctus photonotus,lampanyctus photonotus,,,,,85,300,85,crustaceans,crustaceans,,,,,no,no,,
applebaum1982,1982,"march,april",1979,1979,spring,temperate,atlantic,sargasso sea,0,1800,20,32.5,45,-10,-40,-70,lobianchia,lobianchia,lobianchia gemellarii,lobianchia gemellarii,,,,,60,60,60,crustaceans,crustaceans,,,,,no,no,,
applebaum1982,1982,"march,april",1979,1979,spring,temperate,atlantic,sargasso sea,0,1800,20,32.5,45,-10,-40,-70,notoscopelus,notoscopelus,notoscopelus kroyeri,notoscopelus kroyeri,,,,,143,143,143,crustaceans,crustaceans,,,,,no,no,,
badouvas2024,2024,"november,april",2018,2019,multiple,temperate,atlantic,mediterranean,10,725,38,38.25,38.5,22,22.5,23,benthosema,benthosema,benthosema glaciale,benthosema glaciale,,30,47.5,65,65,103,,crustaceans,,,,,,,no,,
badouvas2024,2024,"november,april",2018,2019,multiple,temperate,atlantic,mediterranean,10,725,38,38.25,38.5,22,22.5,23,ceratoscopelus,ceratoscopelus,ceratoscopelus maderensis,ceratoscopelus maderensis,,32,55.5,79,79,184,,copepods,,,,,,,yes,,
badouvas2024,2024,"november,april",2018,2019,multiple,temperate,atlantic,mediterranean,10,725,38,38.25,38.5,22,22.5,23,myctophum,myctophum,myctophum punctatum,myctophum punctatum,,56,65,74,74,110,,crustaceans,,,,,,,yes,,
badouvas2024,2024,"november,april",2018,2019,multiple,temperate,atlantic,mediterranean,10,725,38,38.25,38.5,22,22.5,23,notoscopelus,notoscopelus,notoscopelus elongatus,notoscopelus elongatus,,68,95,122,122,143,,copepods,,,,,,,yes,,
baird1975,1975,march,1972,1972,spring,tropical,atlantic,cariaco trench,10,850,10.633,10.633,10.633,-65.75,-65.75,-65.75,diaphus,diaphus,diaphus taaningi,diaphus taaningi,,35,42,49,49,170,70,thaliaceans,urochardates,copepods,crustaceans,chaetognatha,chaetognatha,no,yes,unknown,
battaglia2014,2014,"oct,may",2010,2011,multiple,temperate,atlantic,mediterranean,571,724,36,36,36,14,14,14,diaphus,diaphus,diaphus metopoclampus,diaphus metopoclampus,,50.8,71.8,92.8,92.8,170,96,copepods,crustaceans,euphausiids,crustaceans,crustaceans,crustaceans,yes,yes,"paralepididae, b.glaciale, c.maderensis, h.benoiti,h.hygomii,l.corodilus,l.pusillus,m.punctatum,n.elongatus,cyclothone braueri, vinciguerria attenuata, argyropelecus hemigymnus, chauliodus sloani",
battaglia2016,2016,"oct,nov,dec,jan,fed,mar,apr,may",2012,2013,multiple,temperate,atlantic,mediterranean,,,38,38,38,15,15,15,electrona,electrona,electrona risso,electrona risso,,12,32.5,53,53,127,,copepods,,,,,,,yes,"diaphus, lampanyctus pusillus, myctophidae, cyclothone braueri, vinciguerria attenuata, argyopelecus hemigymnus, maurolicus muelleri, actinopterygii",
bernal2013,2013,dec,2009,2009,winter,temperate,atlantic,mediterranean,200,900,39,39,39,2,2,2,lampanyctus,lampanyctus,lampanyctus pusillus,lampanyctus pusillus,both,2,22,42,42,300,43,copepods,crustaceans,euphausiids,crustaceans,crustaceans,crustaceans,yes,yes,myctophids,
bernal2015,2015,"dec,jul",2009,2010,multiple,temperate,atlantic,mediterranean,40,900,39,39,39,2,2,2,benthosema,benthosema,benthosema glaciale,benthosema glaciale,,12,29,46,46,103,103,copepods,crustaceans,larvaceans,gelatinous,gastropods,molluscs,yes,yes,unknown,
bernal2015,2015,"dec,jul",2009,2010,multiple,temperate,atlantic,mediterranean,40,900,39,39,39,2,2,2,lobianchia,lobianchia,lobianchia dofleini,lobianchia dofleini,,23,34.5,46,46,60,60,copepods,crustaceans,larvaceans,gelatinous,ostracods,crustaceans,yes,yes,unknown,
bernal2015,2015,"dec,jul",2009,2010,multiple,temperate,atlantic,mediterranean,40,900,39,39,39,2,2,2,hygophum,hygophum,hygophum benoiti,hygophum benoiti,,13,38.5,64,64,81,78,copepods,crustaceans,euphausiids,crustaceans,chaetognatha,chaetognatha,yes,yes,unknown,
bernal2015,2015,"dec,jul",2009,2010,multiple,temperate,atlantic,mediterranean,40,900,39,39,39,2,2,2,ceratoscoperlus,ceratoscopelus,ceratoscopelus maderensis,ceratoscopelus maderensis,,16,40.5,65,65,184,89,copepods,crustaceans,larvaceans,gelatinous,gastropods,molluscs,yes,yes,unknown,
bernal2015,2015,"dec,jul",2009,2010,multiple,temperate,atlantic,mediterranean,40,900,39,39,39,2,2,2,hygophum,hygophum,hygophum hygomii,hygophum hygomii,,39,47.5,56,56,81,81,copepods,crustaceans,euphausiids,crustaceans,pisces,pisces,yes,yes,unknown,
bernal2015,2015,"dec,jul",2009,2010,multiple,temperate,atlantic,mediterranean,40,900,39,39,39,2,2,2,lampanyctus,lampanyctus,lampanyctus pusillus,lampanyctus pusillus,,14,50,86,86,300,43,copepods,crustaceans,euphausiids,crustaceans,ostracods,crustaceans,yes,no,,
bernal2015,2015,"dec,jul",2009,2010,multiple,temperate,atlantic,mediterranean,40,900,39,39,39,2,2,2,myctophum,myctophum,myctophum punctatum,myctophum punctatum,,18,63,108,108,110,110,copepods,crustaceans,euphausiids,crustaceans,amphipods,crustaceans,yes,yes,unknown,
bernal2015,2015,"dec,jul",2009,2010,multiple,temperate,atlantic,mediterranean,40,900,39,39,39,2,2,2,notoscopelus,notoscopelus,notoscopelus elongatus,notoscopelus elongatus,,30,101,172,172,143,142,copepods,crustaceans,euphausiids,crustaceans,gelatinous,gelatinous,yes,yes,unknown,
bernal2015,2015,"dec,jul",2009,2010,multiple,temperate,atlantic,mediterranean,40,900,39,39,39,2,2,2,lampanyctus,lampanyctus,lampanyctus crocodilus,lampanyctus crocodilus,,20,151.5,283,283,300,300,euphausiids,crustaceans,euphausiids,crustaceans,pisces,pisces,no,yes,unknown,
bernal2020,2020,jun,2015,2015,winter,tropical,indian,indonesia,0,500,-20,-20,-20,95,82.5,70,ceratoscopelus,ceratoscopelus,ceratoscopelus warmingii,ceratoscopelus warmingii,,13,45.5,78,78,184,102,copepods,crustaceans,ostracods,crustaceans,euphausiids,crustaceans,yes,yes,,
bernal2020,2020,jun,2015,2015,winter,tropical,indian,indonesia,0,500,-20,-20,-20,95,82.5,70,symbolophorus,symbolophorus,symbolophorus evermanni,symbolophorus evermanni,,25,52.5,80,80,160,117,copepods,crustaceans,euphausiids,crustaceans,chaetognatha,chaetognatha,yes,yes,phosichthyds and myctophids,
bernal2020,2020,jun,2015,2015,winter,tropical,indian,indonesia,0,500,-20,-20,-20,95,82.5,70,diaphus,diaphus,diaphus effulgens,diaphus effulgens,,24,72,120,120,170,150,copepods,crustaceans,euphausiids,crustaceans,pisces,pisces,yes,yes,phosichthyds and myctophids,
bosley2004,2004,"jun,jul",2001,2001,summer,temperate,pacific,us,0,264,46.218,46.2,46.183,-124.45,-124.55,-124.661,diaphus,diaphus,diaphus theta,diaphus theta,,48,64.5,81,81,170,114,euphausiids,crustaceans,amphipods,crustaceans,pisces,pisces,no,yes,unknown,
bosley2004,2004,"jun,jul",2001,2001,summer,temperate,pacific,us pacific,0,264,46.218,46.2,46.183,-124.45,-124.55,-124.661,stenobrachius,stenobrachius,stenobrachius leucopsarus,stenobrachius leucopsarus,,53,74.5,96,96,130,130,euphausiids,crustaceans,amphipods,crustaceans,copepods,crustaceans,no,no,,
cailliet1990,1990,,1964,1968,multiple,temperate,pacific,us,0,1000,34,49,64,-120,-120,-120,stenobrachius,stenobrachius,stenobrachius leucopsarus,stenobrachius leucopsarus,,,,,130,130,130,copepods,crustaceans,ostracods,crustaceans,euphausiids,crustaceans,yes,yes,unknown,
carlo1982,1982,"mar,april,may,jun,aug,sept,oct,nov,dec",1972,1972,multiple,temperate,atlantic,mediterranean,,,38,38,38,15,15,15,hygophum,hygophum,hygophum benoiti,hygophum benoiti,,21,39,57,57,81,78,copepods,crustaceans,euphausiids,crustaceans,amphipods,crustaceans,yes,yes,cyclothone,
carlo1982,1982,"mar,april,may,jun,aug,sept,oct,nov,dec",1972,1972,multiple,temperate,atlantic,mediterranean,,,38,38,38,15,15,15,myctophum,myctophum,myctophum punctatum,myctophum punctatum,,31,49,67,67,110,110,copepods,crustaceans,euphausiids,crustaceans,appendicularians,gelatinous,yes,yes,cyclothone,
chen2022,2022,,2020,2020,unknown,temperate,pacific,south china sea,,,16,16,16,110,110,110,diaphus,diaphus,diaphus splendidus,diaphus splendidus,,38,48,58,58,170,,ostracods,,,,,,,yes,"argyropelecus hemigymnus, argyropelecus affinis, cyclothone braueri, gonostoma atlanticum, woodsia, melanostomias tentaculatus, diaphus, diaphus luetkeni, bolinichthys pyrosobolus, opisthoproctus soleatus, winteria telescopa",
clarke1978,1978,"aug,sep",1973,1973,summer,tropical,pacific,hawaii,350,1200,21.3416,21.3416,21.3416,-158.341,-158.341,-158.341,notolychnus,notolychnus,notolychnus valdiviae,notolychnus valdiviae,,19,21.5,24,24,63,63,copepods,crustaceans,,,,,yes,no,,
clarke1978,1978,"aug,sep",1973,1973,summer,tropical,pacific,hawaii,350,1200,21.3416,21.3416,21.3416,-158.341,-158.341,-158.341,triphoturus,triphoturus,triphoturus nigrescens,triphoturus nigrescens,,18,26,34,34,81,81,copepods,crustaceans,euphausiids,crustaceans,,,yes,no,,
clarke1978,1978,"aug,sep",1973,1973,summer,tropical,pacific,hawaii,350,1200,21.3416,21.3416,21.3416,-158.341,-158.341,-158.341,benthosema,benthosema,benthosema suborbitale,benthosema suborbitale,,24,27,30,30,103,39,euphausiids,crustaceans,copepods,crustaceans,,,no,no,,
clarke1978,1978,"aug,sep",1973,1973,summer,tropical,pacific,hawaii,350,1200,21.3416,21.3416,21.3416,-158.341,-158.341,-158.341,hygophum,hygophum,hygophum proximum,hygophum proximum,,26,29.5,33,33,81,50,copepods,crustaceans,crustaceans,crustaceans,,,yes,no,,
clarke1978,1978,"aug,sep",1973,1973,summer,tropical,pacific,hawaii,350,1200,21.3416,21.3416,21.3416,-158.341,-158.341,-158.341,diaphus,diaphus,diaphus schmidti,diaphus schmidti,,25,32,39,39,170,53,ostracods,crustaceans,copepods,crustaceans,malacostracans,crustaceans,no,no,,
clarke1978,1978,"aug,sep",1973,1973,summer,tropical,pacific,hawaii,350,1200,21.3416,21.3416,21.3416,-158.341,-158.341,-158.341,lampanyctus,lampanyctus,lampanyctus steinbecki,lampanyctus steinbecki,,25,32,39,39,300,38,copepods,crustaceans,euphausiids,crustaceans,,,yes,no,,
clarke1978,1978,"aug,sep",1973,1973,summer,tropical,pacific,hawaii,350,1200,21.3416,21.3416,21.3416,-158.341,-158.341,-158.341,bolinichthys,bolinichthys,bolinichthys longipes,bolinichthys longipes,,24,35,46,46,117,50,euphausiids,crustaceans,copepods,crustaceans,,,no,no,,
clarke1978,1978,"aug,sep",1973,1973,summer,tropical,pacific,hawaii,350,1200,21.3416,21.3416,21.3416,-158.341,-158.341,-158.341,ceratoscopelus,ceratoscopelus,ceratoscopelus warmingii,ceratoscopelus warmingii,,22,37.5,53,53,184,102,copepods,crustaceans,ostracods,crustaceans,euphausiids,crustaceans,yes,yes,unknown,
clarke1978,1978,"aug,sep",1973,1973,summer,tropical,pacific,hawaii,350,1200,21.3416,21.3416,21.3416,-158.341,-158.341,-158.341,lampanyctus,lampanyctus,lampanyctus nobilis,lampanyctus nobilis,,24,54,84,84,300,124,copepods,crustaceans,amphipods,crustaceans,euphausiids,crustaceans,yes,yes,unknown,
clarke1978,1978,"aug,sep",1973,1973,summer,tropical,pacific,hawaii,350,1200,21.3416,21.3416,21.3416,-158.341,-158.341,-158.341,lampanyctus,lampanyctus,lampanyctus niger,lampanyctus niger,,65,75.5,86,86,300,148,copepods,crustaceans,euphausiids,crustaceans,pisces,pisces,yes,yes,unknown,
clarke1980,1980,"sep,nov",1973,1974,fall,tropical,pacific,hawaii,70,170,21.175,21.175,21.175,-158.174,-158.174,-158.174,diogenichthys,diogenichthys,diogenichthys atlanticus,diogenichthys atlanticus,mature,17,19,21,21,50,29,copepods,crustaceans,,,,,yes,no,,
clarke1980,1980,"sep,nov",1973,1974,fall,tropical,pacific,hawaii,70,170,21.175,21.175,21.175,-158.174,-158.174,-158.174,notolychnus,notolychnus,notolychnus valdiviae,notolychnus valdiviae,mature,16,20,24,24,63,63,copepods,crustaceans,,,,,yes,no,,
clarke1980,1980,"sep,nov",1973,1974,fall,tropical,pacific,hawaii,70,170,21.175,21.175,21.175,-158.174,-158.174,-158.174,benthosema,benthosema,benthosema suborbitale,benthosema suborbitale,mature,18,25,32,32,103,39,copepods,crustaceans,euphausiids,crustaceans,amphipods,crustaceans,yes,no,,
clarke1980,1980,"sep,nov",1973,1974,fall,tropical,pacific,hawaii,70,170,21.175,21.175,21.175,-158.174,-158.174,-158.174,triphoturus,triphoturus,triphoturus nigrescens,triphoturus nigrescens,mature,19,28,37,37,81,81,copepods,crustaceans,,,,,yes,no,,
clarke1980,1980,"sep,nov",1973,1974,fall,tropical,pacific,hawaii,70,170,21.175,21.175,21.175,-158.174,-158.174,-158.174,bolinichthys,bolinichthys,bolinichthys longipes,bolinichthys longipes,mature,17,33,49,49,117,50,copepods,crustaceans,,,,,yes,no,,
